TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,MONTH_NAME,TIME_OF_DAY
Break and Enter Commercial,2025,10,20,5,30,17XX PENDRELL ST,West End,489849.2774,5459398.8982,October,Morning
Break and Enter Commercial,2025,5,13,17,0,17XX TRIMBLE ST,West Point Grey,485025.9448,5457659.8493,May,Afternoon
Break and Enter Commercial,2025,6,9,3,24,17XX W 2ND AVE,Fairview,489454.6702,5457441.2576,June,Evening/Night
Break and Enter Commercial,2025,7,3,16,0,17XX W 7TH AVE,Fairview,489452.4791,5456970.0248,July,Afternoon
Break and Enter Commercial,2025,2,4,15,46,17XX W BROADWAY AVE,Fairview,489472.5412,5456783.5904,February,Afternoon
Break and Enter Commercial,2025,12,6,9,46,17XX W BROADWAY AVE,Fairview,489557.2914,5456772.1009,December,Morning
Break and Enter Commercial,2025,8,5,3,49,17XX W GEORGIA ST,West End,490384.3546,5459883.8643,August,Evening/Night
Break and Enter Commercial,2025,9,12,6,18,18XX ADANAC ST,Grandview-Woodland,495130.1621,5458306.3737,September,Morning
Break and Enter Commercial,2025,1,9,22,30,18XX ALBERNI ST,West End,490126.3945,5460038.6035,January,Evening/Night
Break and Enter Commercial,2025,7,16,22,8,18XX ALBERNI ST,West End,490201.1122,5459966.1207,July,Evening/Night
Break and Enter Commercial,2025,7,31,21,42,18XX ALBERNI ST,West End,490201.1122,5459966.1207,July,Evening/Night
Break and Enter Commercial,2025,5,8,2,13,18XX BARCLAY ST,West End,489946.8591,5459767.9814,May,Evening/Night
Break and Enter Commercial,2025,6,21,22,43,18XX BARCLAY ST,West End,489946.8591,5459767.9814,June,Evening/Night
Break and Enter Commercial,2025,12,8,4,32,18XX BOUNDARY RD,Hastings-Sunrise,498272.7893,5457270.9915,December,Morning
Break and Enter Commercial,2025,11,18,3,40,18XX COMMERCIAL DR,Grandview-Woodland,494926.4389,5457254.3173,November,Evening/Night
Break and Enter Commercial,2025,9,5,6,52,18XX COMMERCIAL DR,Grandview-Woodland,494935.6571,5457270.1491,September,Morning
Break and Enter Commercial,2025,10,19,23,20,18XX COMMERCIAL DR,Grandview-Woodland,494935.6571,5457270.1491,October,Evening/Night
Break and Enter Commercial,2025,8,23,0,5,18XX COMOX ST,West End,489814.9351,5459589.2219,August,Evening/Night
Break and Enter Commercial,2025,11,25,4,40,18XX CROWE ST,Mount Pleasant,491875.1021,5457294.4062,November,Morning
Break and Enter Commercial,2025,2,15,2,0,18XX E 10TH AVE,Kensington-Cedar Cottage,495145.3175,5456520.1418,February,Evening/Night
Break and Enter Commercial,2025,7,13,5,24,18XX E 8TH AVE,Grandview-Woodland,495129.1031,5456727.4983,July,Morning
Break and Enter Commercial,2025,4,9,1,40,18XX E GEORGIA ST,Grandview-Woodland,495056.8482,5458408.519,April,Evening/Night
Break and Enter Commercial,2025,4,8,1,14,18XX FIR ST,Fairview,489761.9621,5457409.0203,April,Evening/Night
Break and Enter Commercial,2025,5,14,4,30,18XX FRANCES ST,Grandview-Woodland,495098.5781,5458515.9645,May,Morning
Break and Enter Commercial,2025,4,19,7,37,18XX GREER AVE,Kitsilano,489272.6809,5457869.0586,April,Morning
Break and Enter Commercial,2025,1,19,0,22,18XX MAIN ST,Mount Pleasant,492661.3332,5457301.3701,January,Evening/Night
Break and Enter Commercial,2025,12,30,6,4,21XX W 41ST AVE,Arbutus Ridge,488583.1635,5453552.5567,December,Morning
Break and Enter Commercial,2025,8,8,5,0,21XX W 44TH AVE,Kerrisdale,488549.2816,5453247.5336,August,Morning
Break and Enter Commercial,2025,8,7,17,0,21XX W 44TH AVE,Kerrisdale,488616.5122,5453245.537,August,Afternoon
Break and Enter Commercial,2025,1,21,9,55,21XX W 5TH AVE,Kitsilano,488858.0947,5457172.612,January,Morning
Break and Enter Commercial,2025,2,25,9,5,21XX W 6TH AVE,Kitsilano,488793.0594,5457080.7411,February,Morning
Break and Enter Commercial,2025,12,2,3,32,21XX W BROADWAY AVE,Kitsilano,488775.3839,5456793.596,December,Evening/Night
Break and Enter Commercial,2025,2,8,19,30,21XX W BROADWAY AVE,Kitsilano,488778.681,5456793.5064,February,Evening/Night
Break and Enter Commercial,2025,9,26,21,30,21XX YEW ST,Kitsilano,488705.3929,5457162.3935,September,Evening/Night
Break and Enter Commercial,2025,3,15,16,47,21XX YORK AVE,Kitsilano,488850.0413,5457671.5327,March,Afternoon
Break and Enter Commercial,2025,1,17,2,56,22XX CAMBIE ST,Fairview,491636.9567,5456976.4013,January,Evening/Night
Break and Enter Commercial,2025,1,6,0,0,22XX CAMBRIDGE ST,Grandview-Woodland,495693.5087,5459315.5276,January,Evening/Night
Break and Enter Commercial,2025,5,1,10,30,22XX CAMBRIDGE ST,Grandview-Woodland,495693.5087,5459315.5276,May,Morning
Break and Enter Commercial,2025,1,10,14,0,22XX CAMBRIDGE ST,Grandview-Woodland,495695.3566,5459315.4903,January,Afternoon
Break and Enter Commercial,2025,4,2,16,12,22XX CAMBRIDGE ST,Grandview-Woodland,495695.3566,5459315.4903,April,Afternoon
Break and Enter Commercial,2025,12,31,10,19,22XX COMMERCIAL DR,Grandview-Woodland,494921.0792,5456890.4154,December,Morning
Break and Enter Commercial,2025,1,10,17,51,22XX E BROADWAY AVE,Kensington-Cedar Cottage,495719.9939,5456606.1663,January,Afternoon
Break and Enter Commercial,2025,9,19,15,30,22XX E BROADWAY AVE,Kensington-Cedar Cottage,495719.9939,5456606.1663,September,Afternoon
Break and Enter Commercial,2025,5,7,4,13,22XX E HASTINGS ST,Grandview-Woodland,495665.5285,5458719.5337,May,Morning
Break and Enter Commercial,2025,12,18,14,33,22XX E HASTINGS ST,Grandview-Woodland,495668.3041,5458710.3828,December,Afternoon
Break and Enter Commercial,2025,3,16,2,30,22XX E HASTINGS ST,Grandview-Woodland,495678.3881,5458719.4941,March,Evening/Night
Break and Enter Commercial,2025,8,12,0,0,22XX E HASTINGS ST,Grandview-Woodland,495716.6564,5458710.2333,August,Evening/Night
Break and Enter Commercial,2025,6,18,7,2,22XX E HASTINGS ST,Grandview-Woodland,495724.7117,5458710.2074,June,Morning
Break and Enter Commercial,2025,6,17,7,48,22XX E HASTINGS ST,Grandview-Woodland,495759.6366,5458710.1008,June,Morning
Break and Enter Commercial,2025,8,29,0,37,22XX E HASTINGS ST,Grandview-Woodland,495759.6366,5458710.1008,August,Evening/Night
Break and Enter Commercial,2025,7,27,1,0,22XX ETON ST,Grandview-Woodland,495700.1523,5459415.9438,July,Evening/Night
Break and Enter Commercial,2025,1,10,5,45,22XX GRANVILLE ST,Fairview,489920.5124,5457015.4053,January,Morning
Break and Enter Commercial,2025,12,2,6,49,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495536.1574,5454515.0143,December,Morning
Break and Enter Commercial,2025,1,6,21,0,22XX W 1ST AVE,Kitsilano,488553.8508,5457573.9553,January,Evening/Night
Break and Enter Commercial,2025,5,14,17,30,22XX W 41ST AVE,Arbutus Ridge,488367.655,5453558.2006,May,Afternoon
Break and Enter Commercial,2025,11,6,4,47,22XX W 41ST AVE,Arbutus Ridge,488378.9922,5453557.8819,November,Morning
Break and Enter Commercial,2025,10,10,2,44,22XX W 41ST AVE,Arbutus Ridge,488454.5694,5453555.7582,October,Evening/Night
Break and Enter Commercial,2025,2,25,5,54,22XX W 4TH AVE,Kitsilano,488708.5682,5457281.97,February,Morning
Break and Enter Commercial,2025,6,18,0,0,23XX MCLEAN DR,Grandview-Woodland,494497.3652,5456766.5918,June,Evening/Night
Break and Enter Commercial,2025,8,6,2,30,23XX SCOTIA ST,Mount Pleasant,492799.4715,5456850.5374,August,Evening/Night
Break and Enter Commercial,2025,3,18,6,54,23XX W BROADWAY AVE,Kitsilano,488436.3438,5456812.1432,March,Morning
Break and Enter Commercial,2025,9,7,19,0,24XX E HASTINGS ST,Hastings-Sunrise,495954.8133,5458718.6836,September,Evening/Night
Break and Enter Commercial,2025,4,1,0,0,24XX GRANT ST,Hastings-Sunrise,495895.7434,5457620.1199,April,Evening/Night
Break and Enter Commercial,2025,5,24,11,33,24XX GRANT ST,Hastings-Sunrise,495895.7434,5457620.1199,May,Morning
Break and Enter Commercial,2025,10,15,4,46,24XX GRANVILLE ST,Fairview,489923.6792,5456780.3684,October,Morning
Break and Enter Commercial,2025,3,28,1,40,24XX KAMLOOPS ST,Hastings-Sunrise,496014.6473,5456684.7339,March,Evening/Night
Break and Enter Commercial,2025,11,17,12,1,24XX KINGSWAY AVE,Renfrew-Collingwood,495958.4128,5454219.578,November,Afternoon
Break and Enter Commercial,2025,12,23,0,0,24XX MAIN ST,Mount Pleasant,492643.9594,5456704.5333,December,Evening/Night
Break and Enter Commercial,2025,8,12,21,5,24XX MAIN ST,Mount Pleasant,492644.7087,5456748.8304,August,Evening/Night
Break and Enter Commercial,2025,6,14,0,5,24XX MAIN ST,Mount Pleasant,492645.0613,5456769.5959,June,Evening/Night
Break and Enter Commercial,2025,3,5,6,15,35XX KINGSWAY AVE,Killarney,497985.4192,5453255.3741,March,Morning
Break and Enter Commercial,2025,10,3,23,0,35XX KINGSWAY AVE,Killarney,497985.4192,5453255.3741,October,Evening/Night
Break and Enter Commercial,2025,7,22,0,0,35XX MAIN ST,Riley Park,492662.9904,5455645.4479,July,Evening/Night
Break and Enter Commercial,2025,1,8,17,30,35XX SAWMILL CRES,Killarney,498003.0244,5450381.1837,January,Afternoon
Break and Enter Commercial,2025,5,26,0,0,35XX VANNESS AVE,Renfrew-Collingwood,497929.1668,5453761.8102,May,Evening/Night
Break and Enter Commercial,2025,5,15,3,0,36XX E HASTINGS ST,Hastings-Sunrise,498235.3447,5458714.1099,May,Evening/Night
Break and Enter Commercial,2025,1,7,7,40,36XX E HASTINGS ST,Hastings-Sunrise,498252.1461,5458714.1571,January,Morning
Break and Enter Commercial,2025,2,6,7,40,36XX E HASTINGS ST,Hastings-Sunrise,498252.1461,5458714.1571,February,Morning
Break and Enter Commercial,2025,10,8,22,4,11XX HARWOOD ST,West End,490291.7498,5458482.6829,October,Evening/Night
Break and Enter Commercial,2025,10,21,14,6,11XX HARWOOD ST,West End,490291.7498,5458482.6829,October,Afternoon
Break and Enter Commercial,2025,4,10,2,33,11XX HOMER ST,Downtown,491138.6361,5458160.0569,April,Evening/Night
Break and Enter Commercial,2025,9,6,4,14,11XX HORNBY ST,Downtown,490790.5915,5458521.2957,September,Morning
Break and Enter Commercial,2025,9,11,6,8,11XX HORNBY ST,Downtown,490792.7512,5458523.5346,September,Morning
Break and Enter Commercial,2025,6,30,2,0,11XX HOWE ST,Downtown,490768.0621,5458359.5349,June,Evening/Night
Break and Enter Commercial,2025,9,16,8,0,11XX HOWE ST,Downtown,490828.7603,5458434.0366,September,Morning
Break and Enter Commercial,2025,9,21,8,49,11XX MAIN ST,Downtown,492720.8486,5457994.155,September,Morning
Break and Enter Commercial,2025,3,12,9,7,11XX MAINLAND ST,Downtown,491211.2986,5458069.4297,March,Morning
Break and Enter Commercial,2025,3,19,11,0,11XX MAINLAND ST,Downtown,491213.501,5458084.4836,March,Morning
Break and Enter Commercial,2025,9,3,23,59,11XX MAINLAND ST,Downtown,491219.5543,5458077.6066,September,Evening/Night
Break and Enter Commercial,2025,3,9,3,0,11XX MELVILLE ST,Downtown,491020.5968,5459406.9826,March,Evening/Night
Break and Enter Commercial,2025,3,2,9,39,11XX NELSON ST,West End,490662.6897,5458898.5787,March,Morning
Break and Enter Commercial,2025,10,4,10,14,11XX PACIFIC BLVD,Downtown,491331.3656,5457967.737,October,Morning
Break and Enter Commercial,2025,8,31,0,0,11XX PACIFIC ST,West End,490203.1609,5458410.8333,August,Evening/Night
Break and Enter Commercial,2025,9,10,14,0,11XX PENDRELL ST,West End,490439.7327,5458801.3692,September,Afternoon
Break and Enter Commercial,2025,2,13,16,25,11XX QUEBEC ST,Downtown,492593.6337,5457991.7704,February,Afternoon
Break and Enter Commercial,2025,2,21,4,36,11XX RICHARDS ST,Downtown,491058.183,5458236.7356,February,Morning
Break and Enter Commercial,2025,11,25,17,37,11XX ROBSON ST,West End,490795.6407,5459232.6988,November,Afternoon
Break and Enter Commercial,2025,5,11,5,21,11XX ROBSON ST,West End,490854.4139,5459174.0006,May,Morning
Break and Enter Commercial,2025,2,4,3,8,11XX ROBSON ST,West End,490909.5334,5459106.0202,February,Evening/Night
Break and Enter Commercial,2025,7,27,19,18,11XX SEYMOUR ST,Downtown,490991.2159,5458304.6172,July,Evening/Night
Break and Enter Commercial,2025,8,25,4,3,11XX SEYMOUR ST,Downtown,490991.2159,5458304.6172,August,Morning
Break and Enter Commercial,2025,10,12,17,0,11XX STANLEY PARK DR,Stanley Park,490956.5928,5460598.6567,October,Afternoon
Break and Enter Commercial,2025,3,12,21,20,11XX W 11TH AVE,Fairview,490495.4312,5456538.9536,March,Evening/Night
Break and Enter Commercial,2025,4,6,2,0,11XX W 11TH AVE,Fairview,490495.4312,5456538.9536,April,Evening/Night
Break and Enter Commercial,2025,6,7,9,0,11XX W 11TH AVE,Fairview,490495.4312,5456538.9536,June,Morning
Break and Enter Commercial,2025,6,9,18,30,11XX W 11TH AVE,Fairview,490495.4312,5456538.9536,June,Evening/Night
Break and Enter Commercial,2025,9,25,20,0,11XX W GEORGIA ST,West End,490993.2104,5459271.4375,September,Evening/Night
Break and Enter Commercial,2025,7,1,14,8,11XX W GEORGIA ST,Downtown,491026.0103,5459251.953,July,Afternoon
Break and Enter Commercial,2025,10,1,14,32,11XX W GEORGIA ST,Downtown,491026.0103,5459251.953,October,Afternoon
Break and Enter Commercial,2025,4,7,7,9,11XX W HASTINGS ST,Downtown,491127.8585,5459549.2833,April,Morning
Break and Enter Commercial,2025,9,8,14,39,11XX W PENDER ST,Downtown,491099.3531,5459482.3962,September,Afternoon
Break and Enter Commercial,2025,8,20,0,45,12XX ADANAC ST,Strathcona,494306.6048,5458333.2112,August,Evening/Night
Break and Enter Commercial,2025,9,29,20,25,12XX ALBERNI ST,West End,490834.0469,5459342.8923,September,Evening/Night
Break and Enter Commercial,2025,9,6,11,27,12XX BARCLAY ST,West End,490584.47,5459139.1922,September,Morning
Break and Enter Commercial,2025,1,27,0,30,12XX BIDWELL ST,West End,489756.4852,5459233.4735,January,Evening/Night
Break and Enter Commercial,2025,5,15,4,39,15XX W 2ND AVE,Fairview,489883.1383,5457448.6642,May,Morning
Break and Enter Commercial,2025,5,10,0,0,15XX W 61ST AVE,Marpole,489778.7994,5451473.2009,May,Evening/Night
Break and Enter Commercial,2025,3,27,22,46,15XX W 6TH AVE,Fairview,489831.0809,5457053.9465,March,Evening/Night
Break and Enter Commercial,2025,5,6,21,1,15XX W 6TH AVE,Fairview,489831.0809,5457053.9465,May,Evening/Night
Break and Enter Commercial,2025,3,11,3,0,15XX W 6TH AVE,Fairview,489876.1294,5457061.894,March,Evening/Night
Break and Enter Commercial,2025,5,8,18,30,15XX W 6TH AVE,Fairview,489876.1294,5457061.894,May,Evening/Night
Break and Enter Commercial,2025,7,30,20,0,15XX W 6TH AVE,Fairview,489876.1294,5457061.894,July,Evening/Night
Break and Enter Commercial,2025,1,18,9,30,15XX W 7TH AVE,Fairview,489846.6173,5456969.1422,January,Morning
Break and Enter Commercial,2025,2,12,14,30,15XX WOODLAND DR,Grandview-Woodland,494652.221,5457578.8873,February,Afternoon
Break and Enter Commercial,2025,4,30,20,59,16XX ADANAC ST,Grandview-Woodland,494840.3161,5458311.3941,April,Evening/Night
Break and Enter Commercial,2025,12,15,20,0,16XX ADANAC ST,Grandview-Woodland,494840.3161,5458311.3941,December,Evening/Night
Break and Enter Commercial,2025,4,3,10,27,16XX BARCLAY ST,West End,490228.3212,5459489.6168,April,Morning
Break and Enter Commercial,2025,3,22,16,16,16XX BAYSHORE DR,Downtown,490596.6783,5459868.0693,March,Afternoon
Break and Enter Commercial,2025,1,27,0,15,16XX BURNABY ST,West End,489771.2964,5459163.1663,January,Evening/Night
Break and Enter Commercial,2025,6,25,22,0,16XX BURNABY ST,West End,489807.2985,5459115.2443,June,Evening/Night
Break and Enter Commercial,2025,11,8,4,32,16XX CLARK DR,Grandview-Woodland,494376.9271,5457483.451,November,Morning
Break and Enter Commercial,2025,8,8,1,20,16XX COMMERCIAL DR,Grandview-Woodland,494937.3266,5457500.498,August,Evening/Night
Break and Enter Commercial,2025,12,22,1,15,16XX E 12TH AVE,Kensington-Cedar Cottage,494880.2393,5456320.8439,December,Evening/Night
Break and Enter Commercial,2025,10,11,5,18,16XX E 12TH AVE,Kensington-Cedar Cottage,494898.7678,5456311.5502,October,Morning
Break and Enter Commercial,2025,6,14,15,34,16XX E 1ST AVE,Grandview-Woodland,494799.8727,5457424.4633,June,Afternoon
Break and Enter Commercial,2025,1,18,16,12,16XX E 2ND AVE,Grandview-Woodland,494875.8102,5457334.2837,January,Afternoon
Break and Enter Commercial,2025,8,26,14,48,16XX E 5TH AVE,Grandview-Woodland,494809.2434,5457033.6505,August,Afternoon
Break and Enter Commercial,2025,9,18,23,0,16XX E BROADWAY AVE,Kensington-Cedar Cottage,494831.4068,5456617.1074,September,Evening/Night
Break and Enter Commercial,2025,6,25,7,0,16XX E BROADWAY AVE,Grandview-Woodland,494847.0444,5456626.0359,June,Morning
Break and Enter Commercial,2025,10,23,0,0,16XX FRANCES ST,Grandview-Woodland,494836.675,5458512.494,October,Evening/Night
Break and Enter Commercial,2025,6,29,18,17,16XX FRANKLIN ST,Grandview-Woodland,494746.5779,5458835.0554,June,Evening/Night
Break and Enter Commercial,2025,6,30,0,0,16XX FRANKLIN ST,Grandview-Woodland,494746.5779,5458835.0554,June,Evening/Night
Break and Enter Commercial,2025,9,17,6,0,16XX GRANVILLE ST,Downtown,490419.584,5457877.1578,September,Morning
Break and Enter Commercial,2025,3,13,2,40,16XX HARO ST,West End,490256.2205,5459605.369,March,Evening/Night
Break and Enter Commercial,2025,1,30,0,0,16XX HORNBY ST,Downtown,490284.1688,5458022.5551,January,Evening/Night
Break and Enter Commercial,2025,8,20,6,50,16XX HOWE ST,Downtown,490355.2593,5457945.5331,August,Morning
Break and Enter Commercial,2025,11,15,21,50,16XX JOHNSTON ST,Fairview,490124.9546,5457766.1695,November,Evening/Night
Break and Enter Commercial,2025,9,2,17,30,16XX MAIN ST,Mount Pleasant,492676.6775,5457585.1839,September,Afternoon
Break and Enter Commercial,2025,1,26,4,38,16XX MAIN ST,Mount Pleasant,492679.196,5457593.9011,January,Morning
Break and Enter Commercial,2025,2,14,4,29,16XX MAIN ST,Strathcona,492687.3226,5457550.307,February,Morning
Break and Enter Commercial,2025,3,14,14,15,16XX ONTARIO ST,Mount Pleasant,492385.4918,5457551.9479,March,Afternoon
Break and Enter Commercial,2025,12,30,16,5,16XX ONTARIO ST,Mount Pleasant,492386.2184,5457585.0253,December,Afternoon
Break and Enter Commercial,2025,11,5,4,23,16XX RENFREW ST,Hastings-Sunrise,496779.4109,5457483.3749,November,Morning
Break and Enter Commercial,2025,1,27,6,20,16XX ROBSON ST,West End,490364.9781,5459660.5297,January,Morning
Break and Enter Commercial,2025,8,13,10,55,16XX VENABLES ST,Grandview-Woodland,494869.2616,5458210.9061,August,Morning
